date,close,pos,returns,strategy_returns,equity_curve
2025-03-25,2.5,1,-0.03846150319251662,-0.03846150319251662,19976.9531992577
2025-03-26,2.319999933242798,1,-0.07200002670288086,-0.07200002670288086,18538.612035468945
2025-03-27,2.190000057220459,1,-0.05603443093234517,-0.05603443093234517,17499.811459785917
2025-03-28,1.899999976158142,1,-0.13242012487907606,-0.13242012487907606,15182.48424092078
2025-03-31,1.9800000190734863,0,0.042105286273269815,0.042105286273269815,15821.747086224155
2025-04-01,2.0299999713897705,0,0.025252500926581378,0.0,15821.747086224155
2025-04-02,1.8899999856948853,0,-0.06896551116650462,-0.0,15821.747086224155
2025-04-03,1.9800000190734863,0,0.04761906564010432,0.0,15821.747086224155
2025-04-04,1.8899999856948853,0,-0.04545456187455765,-0.0,15821.747086224155
2025-04-07,1.919999957084656,0,0.01587300085546861,0.0,15821.747086224155
2025-04-08,1.7400000095367432,0,-0.09374997477667979,-0.0,15821.747086224155
2025-04-09,1.909999966621399,0,0.09770112422580768,0.0,15821.747086224155
2025-04-10,1.7899999618530271,0,-0.06282722872537005,-0.0,15821.747086224155
2025-04-11,1.9600000381469729,0,0.09497211168538788,0.0,15821.747086224155
2025-04-14,2.0,0,0.020408143405366452,0.0,15821.747086224155
2025-04-15,2.0,0,0.0,0.0,15821.747086224155
2025-04-16,1.8899999856948853,0,-0.05500000715255737,-0.0,15821.747086224155
2025-04-17,1.919999957084656,0,0.01587300085546861,0.0,15821.747086224155
2025-04-21,1.820000052452088,0,-0.052083284826947907,-0.0,15821.747086224155
